Date,Sales,Open,Promo,SchoolHoliday,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c,year_norm,day_year_sin,day_year_cos,dow_sin,dow_cos,day_month_sin,day_month_cos
2013-01-01,0.0,0,0,0,0,0,1,1,0.0,0.0172015754182605,0.9998520419557736,0.9749279121818236,-0.2225209339563143,0.20129852008866006,0.9795299412524945
2013-01-02,6089.0,1,0,0,1,1,1,1,0.0,0.034398060613608,0.9994082116062598,0.4338837391175582,-0.900968867902419,0.39435585511331855,0.9189578116202306
2013-01-03,5398.0,1,0,1,1,1,1,1,0.0,0.0515843668694083,0.9986686402879996,-0.433883739117558,-0.9009688679024191,0.5712682150947923,0.8207634412072763
2013-01-04,6092.0,1,0,1,1,1,1,1,0.0,0.0687554084811394,0.9976335468520452,-0.9749279121818236,-0.2225209339563146,0.72479278722912,0.6889669190756866
2013-01-05,3872.0,1,0,1,1,1,1,1,0.0,0.0859061042613327,0.9963032375991964,-0.7818314824680299,0.6234898018587334,0.8486442574947509,0.5289640103269624
2013-01-06,0.0,0,0,1,1,1,1,1,0.0,0.1030313790431787,0.9946781061893646,-2.4492935982947064e-16,1.0,0.9377521321470804,0.3473052528448203
2013-01-07,8591.0,1,1,1,1,1,1,1,0.0,0.1201261651823505,0.9927586335250792,0.7818314824680298,0.6234898018587336,0.9884683243281114,0.1514277775045767
2013-01-08,7099.0,1,1,1,1,1,1,1,0.0,0.1371854040566005,0.9905453876091832,0.9749279121818236,-0.2225209339563143,0.9987165071710528,-0.05064916883871264
2013-01-09,6749.0,1,1,1,1,1,1,1,0.0,0.1542040475626894,0.988039023376751,0.4338837391175582,-0.900968867902419,0.9680771188662043,-0.2506525322587204
2013-01-10,6282.0,1,1,1,1,1,1,1,0.0,0.1711770596101998,0.985240282501282,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344
2013-01-11,6829.0,1,1,1,1,1,1,1,0.0,0.1880994176117975,0.9821499931752292,-0.9749279121818236,-0.2225209339563146,0.7907757369376989,-0.6121059825476626
2013-01-12,3829.0,1,0,1,1,1,1,1,0.0,0.2049661139694953,0.9787690698649216,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791
2013-01-13,0.0,0,0,1,1,1,1,1,0.0,0.2217721575564818,0.975098513039961,-2.4492935982947064e-16,1.0,0.48530196253108104,-0.8743466161445821
2013-01-14,5908.0,1,0,1,1,1,1,1,0.0,0.2385125751940764,0.9711394088771652,0.7818314824680298,0.6234898018587336,0.29936312297335804,-0.9541392564000488
2013-01-15,5861.0,1,0,1,1,1,1,1,0.0,0.2551824131233728,0.966892928939152,0.9749279121818236,-0.2225209339563143,0.10116832198743272,-0.994869323391895
2013-01-16,4454.0,1,0,1,1,1,1,1,0.0,0.2717767384711357,0.9623603298276544,0.4338837391175582,-0.900968867902419,-0.10116832198743204,-0.9948693233918952
2013-01-17,5235.0,1,0,1,1,1,1,1,0.0,0.2882906407095177,0.957542952811672,-0.433883739117558,-0.9009688679024191,-0.2993631229733582,-0.9541392564000488
2013-01-18,5553.0,1,0,1,1,1,1,1,0.0,0.3047192331091634,0.9524422234305676,-0.9749279121818236,-0.2225209339563146,-0.4853019625310808,-0.8743466161445822
2013-01-19,3702.0,1,0,1,1,1,1,1,0.0,0.321057654185271,0.9470596510722284,-0.7818314824680299,0.6234898018587334,-0.651372482722222,-0.7587581226927911
2013-01-20,0.0,0,0,1,1,1,1,1,0.0,0.3373010691361842,0.9413968285264122,-2.4492935982947064e-16,1.0,-0.7907757369376986,-0.6121059825476627
2013-01-21,6764.0,1,1,1,1,1,1,1,0.0,0.3534446712740877,0.9354554315134164,0.7818314824680298,0.6234898018587336,-0.8978045395707417,-0.44039415155763423
2013-01-22,7066.0,1,1,1,1,1,1,1,0.0,0.3694836834473831,0.9292372181882051,0.9749279121818236,-0.2225209339563143,-0.9680771188662041,-0.2506525322587213
2013-01-23,7343.0,1,1,1,1,1,1,1,0.0,0.3854133594543256,0.9227440286201428,0.4338837391175582,-0.900968867902419,-0.9987165071710528,-0.05064916883871355
2013-01-24,5844.0,1,1,1,1,1,1,1,0.0,0.4012289854475009,0.9159777842484876,-0.433883739117558,-0.9009688679024191,-0.9884683243281114,0.15142777750457667
2013-01-25,6433.0,1,1,1,1,1,1,1,0.0,0.4169258813287287,0.908940487313808,-0.9749279121818236,-0.2225209339563146,-0.9377521321470804,0.3473052528448203
2013-01-26,3443.0,1,0,1,1,1,1,1,0.0,0.4324994021339788,0.901634220265486,-0.7818314824680299,0.6234898018587334,-0.8486442574947509,0.5289640103269624
2013-01-27,0.0,0,0,1,1,1,1,1,0.0,0.4479449394078911,0.8940611451454876,-2.4492935982947064e-16,1.0,-0.72479278722912,0.6889669190756865
2013-01-28,6209.0,1,0,1,1,1,1,1,0.0,0.4632579225674917,0.88622350294858,0.7818314824680298,0.6234898018587336,-0.5712682150947924,0.8207634412072763
2013-01-29,5411.0,1,0,1,1,1,1,1,0.0,0.4784338202547012,0.8781236129591848,0.9749279121818236,-0.2225209339563143,-0.3943558551133187,0.9189578116202306
2013-01-30,5751.0,1,0,1,1,1,1,1,0.0,0.4934681416772373,0.8697638720650646,0.4338837391175582,-0.900968867902419,-0.20129852008866114,0.9795299412524943
2013-01-31,6458.0,1,0,1,1,1,1,1,0.0,0.5083564379375122,0.8611467540480452,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0
2013-02-01,6601.0,1,0,1,1,1,1,1,0.0,0.5230943033491326,0.8522748088519838,-0.9749279121818236,-0.2225209339563146,0.20129852008866006,0.9795299412524945
2013-02-02,3927.0,1,0,1,1,1,1,1,0.0,0.5376773767406141,0.8431506618282,-0.7818314824680299,0.6234898018587334,0.39435585511331855,0.9189578116202306
2013-02-03,0.0,0,0,1,1,1,1,1,0.0,0.5521013427459208,0.8337770129585915,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763
2013-02-04,7954.0,1,1,0,1,1,1,1,0.0,0.5663619330814524,0.8241566360566663,0.7818314824680298,0.6234898018587336,0.72479278722912,0.6889669190756866
2013-02-05,7334.0,1,1,0,1,1,1,1,0.0,0.580454927809098,0.8142923779467267,0.9749279121818236,-0.2225209339563143,0.8486442574947509,0.5289640103269624
2013-02-06,6871.0,1,1,0,1,1,1,1,0.0,0.5943761565849831,0.804187157621448,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203
2013-02-07,6193.0,1,1,0,1,1,1,1,0.0,0.6081214998935418,0.7938439653781019,-0.433883739117558,-0.9009688679024191,0.9884683243281114,0.1514277775045767
2013-02-08,6623.0,1,1,0,1,1,1,1,0.0,0.6216868902665479,0.7832658619336791,-0.9749279121818236,-0.2225209339563146,0.9987165071710528,-0.05064916883871264
2013-02-09,3851.0,1,0,1,1,1,1,1,0.0,0.6350683134867438,0.7724559775191742,-0.7818314824680299,0.6234898018587334,0.9680771188662043,-0.2506525322587204
2013-02-10,0.0,0,0,1,1,1,1,1,0.0,0.6482618097757122,0.7614175109532997,-2.4492935982947064e-16,1.0,0.8978045395707416,-0.4403941515576344
2013-02-11,5695.0,1,0,0,1,1,1,1,0.0,0.6612634749656386,0.7501537286959042,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626
